,cid,pid,sex,gebjahr,immiyear,germborn,corigin,gebmonat,gebmoval,loc1989,migback,fsedu,msedu,freli,mreli,locchildh,bioyear,fnat,mnat,fprofstat,mprofstat,morigin,forigin,agefjob,ageinfo,nojob,stillfj,occfjob,fulltime,fjblue,fjselfe,fjwhite,fjcivs,scopelj,civilslj,nacelj,occljob,ljblue,ljselfe,ljsefsiz,ljwhite,ljcivs,inteduc1,inteduc3,inteduc2,inteduc4,bioage
12,60,604,1,1990,-2,1,1,12,7,-2,3,-1,4,-1,2,2,2007,-2,1,-1,421,1,-2,-2.0,16.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
30,175,1705,2,1985,-2,1,1,11,4,2,3,4,2,6,6,1,2002,1,1,540,620,1,20,-2.0,16.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
165,868,8602,2,1952,-2,1,1,3,4,2,3,0,1,-2,-2,1,1984,-8,-8,-1,-5,-2,-2,16.0,1.0,-2.0,-2.0,1.0,1.0,12.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,32
168,868,8605,1,1978,-2,1,1,3,4,2,3,2,2,-2,2,1,1995,1,2,220,530,1,1,24.0,3.0,-2.0,-2.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
169,868,8606,1,1982,-2,1,1,2,4,2,3,1,2,2,2,1,1999,1,2,220,530,1,1,16.0,4.0,-2.0,-2.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,3.0,-2.0,1.0,-2.0,17
183,922,9203,2,1980,-2,1,1,3,4,2,3,2,4,2,2,1,1997,1,1,530,530,1,-2,19.0,3.0,-2.0,-2.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,17
184,922,9204,1,1982,-2,1,1,2,4,2,3,2,4,2,2,1,1999,1,1,530,12,1,-2,23.0,3.0,-2.0,-2.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,6.0,-2.0,-2.0,-2.0,17
200,981,9804,2,1992,-2,1,1,2,7,-2,3,4,4,1,2,1,2009,1,1,540,530,1,120,17.0,17.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
201,981,9805,1,1994,-2,1,1,1,7,-2,3,4,4,1,2,1,2011,1,1,540,530,1,120,19.0,17.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,17
205,990,9904,2,1979,-2,1,1,11,4,2,3,4,2,2,2,1,1996,1,1,12,530,23,1,20.0,3.0,-2.0,-2.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,7.0,-2.0,-2.0,-2.0,17
