study,dataset,version,variable,label,Filter
soep-core,biol,v35,pid,Never Changing Person ID,
soep-core,biol,v35,hid,Current Wave HH Number (=HHNRAKT),
soep-core,biol,v35,cid,"Case-ID, Original Household Number",
soep-core,biol,v35,syear,Survey Year,
soep-core,biol,v35,pnr,Serial Person Number,
soep-core,biol,v35,lb0011_h,Year of birth [harmonized],
soep-core,biol,v35,lb0014,German Nationality,
soep-core,biol,v35,lb0130,Father: Other Religious Community,
soep-core,biol,v35,lb0131,Mother: Other Religious Community,
soep-core,biol,v35,lb0132,Father: Religion,
soep-core,biol,v35,lb0133,Mother: Religion,
soep-core,biol,v35,lb0134,Father In Household,<0
soep-core,biol,v35,lb0135,Where Did Father Live Back Then,
soep-core,biol,v35,lb0136,Type Of Blue-Collar Worker,
soep-core,biol,v35,lb0137,Type Of Self-Employment,
soep-core,biol,v35,lb0138,Not Employed,
soep-core,biol,v35,lb0139,Type Of White-Collar Worker,
soep-core,biol,v35,lb0140,Type Of Civil Servant,
soep-core,biol,v35,lb0141,Job Title Is Unknown,
soep-core,biol,v35,lb0142,Parents Show Interest In Performance,
soep-core,biol,v35,lb0092,Father: Apprenticeship Industry Or Agriculture,
soep-core,biol,v35,lb0093,Father: Commercial Or Business Apprenticeship,
soep-core,biol,v35,lb0096,"Father: Fachhochschule, Engineering School",
soep-core,biol,v35,lb0095,Father: Civil Servant Training,
soep-core,biol,v35,lb0094,"Father: Fachhochschule, Engineering School",
soep-core,biol,v35,lb0097,"Father: University, Higher Education Institution",
soep-core,biol,v35,lb0098,Father: Other Degree,
soep-core,biol,v35,lb0099,Father: No Degree,
soep-core,biol,v35,lb0100,Father: Do Not Know,
soep-core,biol,v35,lb0101,Mother: Apprenticeship Industry Or Agriculture,
soep-core,biol,v35,lb0102,Mother: Commercial Or Business Apprenticeship,
soep-core,biol,v35,lb0103,"Mother: Fachhochschule, Engineering School",
soep-core,biol,v35,lb0104,Mother: Civil Servant Training,
soep-core,biol,v35,lb0105,"Mother: Fachhochschule, Engineering School",
soep-core,biol,v35,lb0106,"Mother: University, Higher Education Institution",
soep-core,biol,v35,lb0107,Mother: Other Degree,
soep-core,biol,v35,lb0108,Mother: No Degree,
soep-core,biol,v35,lb0109,Mother: Do Not Know,
soep-core,biol,v35,lb0110,"Father: Completed Occupational Training, Studies",
soep-core,biol,v35,lb0111,"Mother: Completed Occupational Training, Studies",
soep-core,biol,v35,lb0114,Father: Type Of Blue-Collar Worker,
soep-core,biol,v35,lb0115,Mother: Type Of Blue-Collar Worker,
soep-core,biol,v35,lb0116,Father: Type Of White-Collar Worker,
soep-core,biol,v35,lb0117,Mother: Type Of White-Collar Worker,
soep-core,biol,v35,lb0118,Father: Type Of Civil Servant,
soep-core,biol,v35,lb0119,Mother: Type Of Civil Servant,
soep-core,bioparen,v35,pid,Never Changing Person ID,
soep-core,bioparen,v35,cid,Original Household Number,
soep-core,bioparen,v35,fsedu,Level Of Education Father,
soep-core,bioparen,v35,msedu,Level Of Education Mother,
soep-core,bioparen,v35,freli,Religion Father,
soep-core,bioparen,v35,mreli,Religion Mother,
soep-core,bioparen,v35,locchildh,Place Raised To Age 15,
soep-core,bioparen,v35,bioyear,Year Of Biography Survey,
soep-core,bioparen,v35,fnat,Nationality of Father,
soep-core,bioparen,v35,mnat,Nationality of Mother,
soep-core,bioparen,v35,fprofstat,Job Position Father,
soep-core,bioparen,v35,mprofstat,Job Position Mother,
soep-core,bioparen,v35,morigin,"Country of Origin, Mother",
soep-core,bioparen,v35,forigin,"Country of Origin, Father",
soep-core,bioparen,v35,sibl,Siblings yes/no,
soep-core,bioparen,v35,nums,Number Of Sisters,
soep-core,bioparen,v35,numb,Number Of Brothers,
soep-core,bioparen,v35,twin,Twin sister/brother,
soep-core,bioparen,v35,siblup,Time of update - siblings,
soep-core,biobirth,v35,cid,Original Household Number,
soep-core,biobirth,v35,pid,Never Changing Person ID,
soep-core,biobirth,v35,sex,Sex,
soep-core,biobirth,v35,gebjahr,"Year of Birth, 4-digit",
soep-core,biobirth,v35,biovalid,Birth Biography Information,
soep-core,biobirth,v35,bioyear,Year Of Biography Survey,
soep-core,biobirth,v35,bioage,Age When Surveyed Biography,
soep-core,biojob,v35,cid,Original Household Identifier,
soep-core,biojob,v35,pid,Unique Individual Identifier,
soep-core,biojob,v35,bioyear,Year Of Biography/Youth Interview,
soep-core,biojob,v35,agefjob,Age At First Job,
soep-core,biojob,v35,ageinfo,Info Source Agefjob,
soep-core,biojob,v35,nojob,Employment Status,
soep-core,biojob,v35,stillfj,Still Employed In First Job,
soep-core,biojob,v35,occfjob,Occ. Position First Job,
soep-core,biojob,v35,fulltime,First Job Full Time,
soep-core,biojob,v35,fjblue,First Job Blue Collar,
soep-core,biojob,v35,fjselfe,First Job Self Employed,
soep-core,biojob,v35,fjwhite,First Job White Collar,
soep-core,biojob,v35,fjcivs,First Job Civil Servant,
soep-core,biojob,v35,scopelj,Last Job Full-/Part-Time,
soep-core,biojob,v35,civilslj,Last Job In Civil Service,
soep-core,biojob,v35,nacelj,2-Digit NACE Industry Sector(Last Job),
soep-core,biojob,v35,occljob,Occ. Position Last Job,
soep-core,biojob,v35,ljblue,Last Job Blue Collar,
soep-core,biojob,v35,ljselfe,Last Job Self Employed,
soep-core,biojob,v35,ljsefsiz,No. Of Employees Ljselfe,
soep-core,biojob,v35,ljwhite,Last Job White Collar,
soep-core,biojob,v35,ljcivs,Last Job Civil Servant,
soep-core,biojob,v35,inteduc1,Highest Intended Educ. Degree,
soep-core,biojob,v35,inteduc3,Third Intended Educ. Degree,
soep-core,biojob,v35,inteduc2,Second Intended Educ. Degree,
soep-core,biojob,v35,inteduc4,Fourth Intended Educ. Degree,
soep-core,bioimmig,v35,hhnrakt,Current HH Number for SYEAR,
soep-core,bioimmig,v35,cid,Original Household Number,
soep-core,bioimmig,v35,hid,Current HH Number for SYEAR,
soep-core,bioimmig,v35,pid,Never Changing Person ID,
soep-core,bioimmig,v35,syear,"Year, Survey Year",
soep-core,bioimmig,v35,biimgrp,BI: Immigration Group,
soep-core,bioimmig,v35,biresper,BI: Residence Status,
soep-core,bioimmig,v35,bicamp,"BI: Refugee Residence Y,N",
soep-core,bioimmig,v35,bicampw,BI: Refugee Residence: Weeks,
soep-core,bioimmig,v35,bicampm,BI: Refugee Residence: Months,
soep-core,bioimmig,v35,biwfam,BI: Already Had Family In Country,
soep-core,bioimmig,v35,bifamc,BI: Contacts With Family In Germany,
soep-core,bioimmig,v35,bifamcl,"BI: Moved To Same City,Town As Family",
soep-core,bioimmig,v35,birbetr,BI: Reason Migrate: Better,
soep-core,bioimmig,v35,birmoney,BI: Reason Migrate: Money,
soep-core,bioimmig,v35,birfree,BI: Reason Migrate: Freedom,
soep-core,bioimmig,v35,birfam,BI: Reason Migrate: Family,
soep-core,bioimmig,v35,birpoor,BI: Reason Migrate: Poor,
soep-core,bioimmig,v35,birwar,BI: Reason Migrate: War,
soep-core,bioimmig,v35,birjust,BI: Reason Migrate: Just So,
soep-core,bioimmig,v35,birothr,BI: Reason Migrate: Other,
soep-core,biosoc,v35,cid,Original Household Number,
soep-core,biosoc,v35,hid,Current Wave HH Number (=HHNRAKT),
soep-core,biosoc,v35,pid,Never Changing Person ID,
soep-core,biosoc,v35,syear,Survey Year 4-digit,
soep-core,biosoc,v35,psample,Sample Member,
soep-core,biosoc,v35,sex,Gender,
soep-core,biosoc,v35,bsgebjah,Year of Birth,
soep-core,biosoc,v35,bsschend,Year Of Leaving School,
soep-core,biosoc,v35,bsschwo,Country  Last Attended School,
soep-core,biosoc,v35,bsschzuk,Intending to Get Further Degree,
soep-core,biosoc,v35,bsschzar,Which Degree Intending Still to Get,
soep-core,biosoc,v35,bsbadabg,Completed Training/Apprenticeship in Germany,
soep-core,biosoc,v35,bsbadleh,Completed Apprenticeship,
soep-core,biosoc,v35,bsbadbfs,Completed Specialized Vocational School In Germany,
soep-core,biosoc,v35,bsbadfsc,"Completed Higher Level Trade, Techn. School In Germany",
soep-core,biosoc,v35,bsbadbea,Completed Civil Service Education In Germany,
soep-core,biosoc,v35,bsbadfha,Completed Fachhochschule In Germany,
soep-core,biosoc,v35,bsbaduni,Completed University In Germany,
soep-core,biosoc,v35,bsbadpro,Doctorate (since 2011),
soep-core,biosoc,v35,bsbadson,Completed Other Education In Germany,
soep-core,biosoc,v35,bsbadend,"Year Of Last Completed Education, Vocational Training",
soep-core,biosoc,v35,bsbaaabg,Vocational Degree Completed Abroad,
soep-core,biosoc,v35,bsbaafan,On The Job Training Abroad,
soep-core,biosoc,v35,bsbaafba,Long Term Vocational Training Abroad,
soep-core,biosoc,v35,bsbaasch,Vocational Training Abroad,
soep-core,biosoc,v35,bsbaauni,School-Leaving Degree Abroad,
soep-core,biosoc,v35,bsbaason,Other Vocational Training Abroad,
soep-core,biosoc,v35,bsbaaend,Apprenticeship,
soep-core,biosoc,v35,bsbaazeu,Certificate For Voc. Degree Completed Abroad,
soep-core,biosoc,v35,bsbaazea,Foreign Certificate Accepted In Germany,
