value,readable_names,group
-8,Version of questionnaire with modified filtering,invalid
-6,Version of questionnaire with modified filtering,invalid
-5,Not included in this version of the questionnaire,invalid
-4,Inadmissible multiple response,invalid
-3,Answer improbable,invalid
-2,Does not apply,invalid
-1,No Answer,invalid
1,Germany,Germany
2,Turkey,Turkey
3,Ex-Yugoslavia,Former Yugo
4,Greece,Greece
5,Italy,Italy
6,Spain,Other European
7,Ex-GDR (only as country of origin),Ex-GDR (only as country of origin)
10,Austria,Other European
11,France,Other European
12,Benelux,Other European
13,Denmark,Other European
14,Great Britain,Other European
15,Sweden,Other European
16,Norway,Other European
17,Finland,Other European
18,USA,Others
19,Switzerland,Other European
20,Chile,Others
21,Romania,Others
22,Poland,Poland
23,Korea,Others
24,Iran,Others
25,Indonesia,Others
26,Hungary,Others
27,Bolivia,Others
28,Portugal,Other European
29,Bulgaria,Others
30,Syria,Middle East
31,Czech Republic,Other European
32,Russia,Others
33,Kurdistan,Middle East
34,Mexico,Others
35,Argentina,Others
36,Cap Verde Is.,Others
37,Benin,Others
38,Philippines,Others
39,Israel,Others
40,Japan,Others
41,Australia,Others
42,India,Others
43,Afghanistan,Middle East
44,Thailand,Others
45,Jamaica,Others
46,Saudi Arabia,Middle East
47,Ethiopia,Africa
48,Columbia,Others
49,Ghana,Africa
50,Bangladesh,Others
51,Venezuela,Others
52,Tunisia,Africa
53,Mauritius,Africa
54,Nigeria,Africa
55,Canada,Others
56,New Zealand,Others
57,Tanzania,Africa
58,Cyprus,Middle East
59,Cuba,Others
60,Iraq,Middle East
61,Brazil,Others
62,Monaco,Others
63,Hong Kong,Others
64,Peru,Others
65,Sri Lanka,Others
66,Nepal,Others
67,Morocco,Africa
68,China,Others
69,Liechtenstein,Other European
70,Iceland,Other European
71,Ireland,Other European
72,St. Lucia,Others
73,Moldavia,Eastern Europe
74,Kazakhstan,Others
75,Albania,Other European
76,Lebanon,Middle East
77,Kyrgyzstan,Others
78,Ukraine,Eastern Europe
79,Algeria,Africa
80,Mozambique,Africa
81,Egypt,Africa
82,Tajikistan,Others
83,Vietnam,Others
84,Somalia,Africa
85,Pakistan,Others
86,South Africa,Africa
87,UAE,Middle East
88,El Salvador,Others
89,Eritrea,Africa
90,Jordan,Middle East
91,Turkmenistan,Others
92,Costa Rica,Others
93,Singapore,Others
94,Burkina Faso,Africa
95,Zambia,Africa
96,Ecuador,Others
97,Uzbekistan,Others
98,No Nationality,Others
99,Puerto Rico,Others
100,Laos,Others
101,Estonia,Eastern Europe
102,Angola,Africa
103,Latvia,Eastern Europe
104,Malaysia,Others
105,Namibia,Africa
106,Montenegro,Former Yugo
107,Belize,Others
108,Dominican Republic,Others
109,Nicaragua,Others
110,Kenya,Africa
111,Libya,Africa
112,Malta,Other European
113,Botswana,Africa
114,Haiti,Others
115,Trinidad-Tobago,Others
116,Luxembourg,Other European
117,Belgium,Other European
118,The Netherlands,Other European
119,Croatia,Former Yugo
120,Bosnia-Herzegovina,Former Yugo
121,Macedonia,Former Yugo
122,Slovenia,Former Yugo
123,Slovakia,Eastern Europe
124,Paraguay,Others
125,Guinea,Africa
126,Kuwait,Middle East
127,Ivory Coast,Africa
128,Malaysia,Others
129,Samoa,Others
130,Azerbaijan,Eastern Europe
131,Seychelles,Others
132,Belarus,Eastern Europe
133,Uruguay,Others
134,Bahamas,Others
135,Uganda,Africa
136,Oman,Middle East
137,Micronesia,Others
138,Mali,Africa
139,Cameroon,Africa
140,Kosovo-Albania,Former Yugo
141,Georgia,Eastern Europe
142,Sudan,Africa
143,Congo,Africa
144,Togo,Africa
145,Mongolia,Others
146,Lithuania,Other European
147,Chad,Africa
148,Armenia,Eastern Europe
149,Kurdistan,Middle East
150,Liberia,Africa
151,Yemen,Middle East
152,Palestine,Middle East
153,The Free State of Gdansk,Others
154,Taiwan,Others
155,Turkmenistan,Others
156,Africa,Africa
157,Guatemala,Others
158,Sierra Leone (West Africa),Africa
159,Panama,Others
160,East Timor,Others
161,Bahrain,Middle East
162,Senegal,Africa
163,Maldives,Others
164,Hawaii,Others
165,Serbia,Former Yugo
166,Gambia,Africa
167,Honduras,Others
168,Montenegro,Former Yugo
169,Cambodia,Others
170,Surinam,Others
171,Guyana,Others
172,Caucasus,Eastern Europe
173,Zimbabwe,Africa
174,Madagascar,Africa
175,Grenada,Others
176,Lesotho,Africa
177,Bhutan,Others
178,Rwanda,Africa
179,Malawi,Africa
180,Bessarabia,Others
181,Myanmar,Others
183,Niger,Africa
222,Eastern Europe,Eastern Europe
333,Other Unspecified Foreign Country,Others
