study,dataset,variable,variables_name,survey_year
soep-core,,cid,origin_hh_no,invariant
soep-core,,pid,person_id,invariant
soep-core,ap,ap2801,blue_collar,1984
soep-core,ap,ap2802,self_employment,1984
soep-core,ap,ap2804,white_collar,1984
soep-core,ap,ap2805,civil_servant,1984
soep-core,ap,ap2905,vocation_training,1984
soep-core,ap,ap2906,college,1984
soep-core,ap,ap08,unemployment_status,1984
soep-core,bp,bp09,unemployment_status,1985
soep-core,cp,cp05,unemployment_status,1986
soep-core,dp,dp05,unemployment_status,1987
soep-core,ep,ep05,unemployment_status,1988
soep-core,fp,fp06,unemployment_status,1989
soep-core,gp,gp09,unemployment_status,1990
soep-core,hp,hp07,unemployment_status,1991
soep-core,ip,ip09,unemployment_status,1992
soep-core,jp,jp09,unemployment_status,1993
soep-core,kp,kp16,unemployment_status,1994
soep-core,lp,lp13,unemployment_status,1995
soep-core,mp,mp12,unemployment_status,1996
soep-core,np,np08,unemployment_status,1997
soep-core,op,op04,unemployment_status,1998
soep-core,pp,pp05,unemployment_status,1999
soep-core,qp,qp04,unemployment_status,2000
soep-core,rp,rp09,unemployment_status,2001
soep-core,sp,sp10,unemployment_status,2002
soep-core,tp,tp13,unemployment_status,2003
soep-core,up,up05,unemployment_status,2004
soep-core,vp,vp07,unemployment_status,2005
soep-core,wp,wp04,unemployment_status,2006
soep-core,xp,xp10,unemployment_status,2007
soep-core,yp,yp15,unemployment_status,2008
soep-core,zp,zp06,unemployment_status,2009
soep-core,bap,bap06,unemployment_status,2010
soep-core,bbp,bbp06,unemployment_status,2011
soep-core,bcp,bcp08,unemployment_status,2012
soep-core,bdp,bdp15,unemployment_status,2013
soep-core,bep,bep09,unemployment_status,2014
soep-core,bfp,bfp15,unemployment_status,2015
soep-core,bgp,bgp13,unemployment_status,2016
soep-core,bhp,bhp_14,unemployment_status,2017
soep-core,bip,bip_21,unemployment_status,2018
soep-core,bp,bp3801,blue_collar,1985
soep-core,bp,bp3802,self_employment,1985
soep-core,bp,bp3804,white_collar,1985
soep-core,bp,bp3805,civil_servant,1985
soep-core,bp,bp3205,vocation_training,1985
soep-core,bp,bp3206,college,1985
soep-core,cp,cp3205,vocation_training,1986
soep-core,cp,cp3206,college,1986
soep-core,cp,cp4601,blue_collar,1986
soep-core,cp,cp4602,self_employment,1986
soep-core,cp,cp4604,white_collar,1986
soep-core,cp,cp4605,civil_servant,1986
soep-core,dp,dp3005,vocation_training,1987
soep-core,dp,dp3006,college,1987
soep-core,dp,dp3801,blue_collar,1987
soep-core,dp,dp3802,self_employment,1987
soep-core,dp,dp3804,white_collar,1987
soep-core,dp,dp3805,civil_servant,1987
soep-core,ep,ep3801,blue_collar,1988
soep-core,ep,ep3802,self_employment,1988
soep-core,ep,ep3804,white_collar,1988
soep-core,ep,ep3805,civil_servant,1988
